"sample","Biosynthesis","Degradation","Structure","metabolic_function","richness.y","neutral.y","phylo.y","mapped.y","total.y","metabolic_capacity","richness","neutral","phylo","mapped","total","sampleID","captureID","specimen","animal","sample_type","species","order","development","sampling_areaEHI","sampling_date","country","geographic_location","latitude","longitude","n_extractions","n_libraries","n_indexed_libraries","n_sequenced_datasets","host_data","metagenomic_data","n_MAGs","sex","bm","repro","sampling_site","area_type","macroarea","metapop","index200","index500","x","y","month","year","season","singlem_fraction","reads_post_fastp","host_reads","reads_lost_fastp_percent","metagenomic_bases","host_bases","bases_lost_fastp_percent","diversity","C"
"EHI01484",0.406500661271278,0.186136684751382,0.302330077910584,0.29631867301133,1495,70.61,4.675,0.917,1.8,0.693414038659521,1495,70.61,4.675,0.917,1.8,"ACH20","SD0170401","SD01704","5728","Faecal","Sciurus vulgaris","Rodentia","Adult","Golasecca",2021-06-01,"Italy","Lombardy, Golasecca",4569,866,1,1,1,1,"0.65","1.096",295,"M",295,"breeding","GS","rural","GS","GS","0.0635","0.0985",865614,45687981,6,2021,"spring-summer","0.6787",11805620,4385897,"0.0161315942598106",1095970756,649552723,"0.0301989490509328",179161858567942,"0.819810582369102"
"EHI01485",0.37728551079655,0.190716100772715,0.363506032645496,0.284000805784633,1587,127.81,6.341,0.691,2.608,0.689170289117764,1587,127.81,6.341,0.691,2.608,"ABC11","SD0045302","SD00453","5971","Faecal","Sciurus vulgaris","Rodentia","Adult","Calusco",2021-04-14,"Italy","Lombardy, Calusco",4568,946,1,1,1,1,"1.509","0.912",283,"F",300,"nonbreeding","C03-18","rural","CAL","CAL","0.047","0.227",9460459,45680513,4,2021,"spring-summer","0.6555",16720394,10280742,"0.0381635292860224",912091002,1509404618,"0.0713604791090628",187954776999246,"0.705393426084961"
"EHI01486",0.384828269287147,0.207041507577852,0.325143460215205,0.2959348884325,1405,26.045,4.965,3.007,4.253,0.700250930270067,1405,26.045,4.965,3.007,4.253,"AEM06","SD0172203","SD01722","5797","Faecal","Sciurus vulgaris","Rodentia","Adult","Varese",2021-12-16,"Italy","Lombardy, Varese",4582,881,1,1,1,1,"0.609","3.507",137,"F",335,"nonbreeding","Palace","suburban","VAS","VA","0.37","0.561",8808913,45823564,12,2021,"winter","0.7568",27666202,4050582,"0.0242622099294438",3506858483,609211455,"0.0322235086502607",169209022722314,"0.962096314103111"
"EHI01487",0.359663530641791,0.188535155271268,0.322179725429019,0.274099342956529,1571,103.802,5.084,3.597,4.385,0.655591927722732,1571,103.802,5.084,3.597,4.385,"ADW06","SD0170802","SD01708","5733","Faecal","Sciurus vulgaris","Rodentia","Adult","Pineta",2021-10-18,"Italy","Lombardy, Pineta",4574,891,1,1,1,1,"0.047","4.208",181,"F",355,"nonbreeding","Seminario","suburban","PINR","PIN","0.118","0.282",8907712,45735462,10,2021,"autumn","0.7927",28548872,316670,"0.0234916488647804",4207510286,46558917,"0.029936196653316",182626213555058,"0.936899575250323"
"EHI01491",0.353156211525661,0.183421529095834,0.347877901905541,0.268288870310747,1638,259.037,6.622,3.352,4.492,0.652537041256675,1638,259.037,6.622,3.352,4.492,"AAU87","SD0034002","SD00340","5601","Faecal","Sciurus carolinensis","Rodentia","Adult","RS",2020-12-09,"Italy","Piedmont, RS",4495,76,1,1,1,1,"0.059","4.092",278,"F",560,"nonbreeding","RS","suburban","RS","PR","0.2","0.224",7594981,44950145,12,2020,"winter","0.719",27957998,391726,"0.0664877284430705",4091704026,58623019,"0.0761424268213319",191912285159414,"0.851048418345882"
"EHI01492",0.239780684167532,0.149211487293111,0.270444016011213,0.194496085730322,419,8.854,2.559,1.745,4.67,0.479140176797714,419,8.854,2.559,1.745,4.67,"AAB06","SD0038501","SD00385","5668","Faecal","Sciurus vulgaris","Rodentia","Adult","Golasecca",2020-10-19,"Italy","Lombardy, Golasecca",4569,866,1,1,1,1,"1.135","3.307",295,"F",280,"nonbreeding","GS","rural","GS","GS","0.0635","0.0985",865614,45687981,10,2020,"autumn","0.6175",29890270,7598159,"0.0398700556645485",3307414206,1135336149,"0.0486050809527744",145653844738924,"0.99196184595033"
"EHI01493",0.351079268198154,0.180377032991518,0.351196980630636,0.265728150594836,1188,32.059,4.871,2.082,6.859,0.648521961399885,1188,32.059,4.871,2.082,6.859,"AEM26","SD0169503","SD01695","5791","Faecal","Sciurus vulgaris","Rodentia","Pregnant","Varese",2022-01-24,"Italy","Lombardy, Varese",4584,881,1,1,1,1,"3.75","2.878",135,"F",350,"pregnant","Villa Toeplitz","suburban","VAS","VA","0.504","0.424",881432,45844356,1,2022,"winter","0.7482",44550318,24968268,"0.0257889216524706",2877546651,3750090157,"0.0337940720397016",173421755328054,"0.925589602323784"
"EHI01494",0.35997691216634,0.172677709413654,0.366163305504097,0.266327310789997,1665,292.669,9.068,5.233,8.002,0.654709056748026,1665,292.669,9.068,5.233,8.002,"ABA48","SD0038002","SD00380","5663","Faecal","Sciurus carolinensis","Rodentia","Adult","Piobesi",2021-03-23,"Italy","Piedmont, Piobesi",4494,759,1,1,1,1,"1.27","6.378",578,"M",510,"nonbreeding","Piobesi","rural","PIO","PR","0.2","0.188",7593432,44937589,3,2021,"spring-summer","0.7258",51702220,8617600,"0.0308214415981395",6378451920,1269742653,"0.0442104561290826",195386178890183,"0.861603801283709"
"EHI01495",0.40394300784788,0.203693922562149,0.348777173004614,0.303818465205014,1579,48.832,3.144,3.798,4.889,0.723895988078233,1579,48.832,3.144,3.798,4.889,"ACH10","SD0038504","SD00385","5668","Faecal","Sciurus vulgaris","Rodentia","Pregnant","Golasecca",2021-05-31,"Italy","Lombardy, Golasecca",4569,866,1,1,1,1,"0.141","4.456",317,"F",305,"pregnant","GS","rural","GS","GS","0.0635","0.0985",865614,45687981,5,2021,"spring-summer","0.7154",31051634,978427,"0.0472453677083434",4456469691,140659102,"0.0596446008236685",176384619856297,"0.926280166466196"
"EHI01496",0.372659549941146,0.192589974649295,0.299951026368837,0.282624762295221,1631,101.698,7.077,2.419,3.561,0.66523320004672,1631,101.698,7.077,2.419,3.561,"ACH28","SD0032502","SD00325","4939","Faecal","Sciurus vulgaris","Rodentia","Adult","Golasecca",2021-06-01,"Italy","Lombardy, Golasecca",4569,866,1,1,1,1,"0.275","3.121",322,"M",330,"breeding","GS","rural","GS","GS","0.0635","0.0985",865614,45687981,6,2021,"spring-summer","0.6628",23025948,1879452,"0.0302049756923146",3120940750,275328933,"0.0463844124085748",1860369135057,"0.87026719304116"
